DATE,NHFSEPCS
2021-03-01,33
2021-04-01,33
2021-05-01,33
2021-06-01,33
2021-07-01,33
2021-08-01,35
2021-09-01,34
2021-10-01,35
2021-11-01,33
2021-12-01,32
2022-01-01,31
2022-02-01,31
2022-03-01,32
2022-04-01,34
2022-05-01,36
2022-06-01,38
2022-07-01,43
2022-08-01,47
2022-09-01,54
2022-10-01,58
2022-11-01,62
2022-12-01,66
2023-01-01,67
2023-02-01,69
2023-03-01,70
2023-04-01,70
2023-05-01,66
2023-06-01,70
2023-07-01,73
2023-08-01,75
2023-09-01,75
2023-10-01,76
